"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"1",0,0.00388737969207702,0.00262874828289786,1.16326530612245,-0.883754273107012,0,-19.1914310408886,0
"2",1000,0.0056394986359456,0.00338737601279382,0.493473783736644,-1.07556300079683,-0.252825477546235,-20.497619785623,0.29
"3",2000,0.0037911983059064,0.00252106103250938,0.940671270717255,-0.689952962095824,-0.0677374393738868,-16.8732372934532,0.22
"4",3000,0.00391769234323962,0.00268103941133998,0.883582920217812,-0.658638614773156,-0.272834399523804,-16.0898057051453,0.134
"5",4000,0.00519286062212342,0.00658456402141025,0.680781412152005,-0.658847988523718,-0.470764118342276,-23.8946454205559,0.351
"6",5000,0.00402850658374896,0.00285012034701571,0.526983737972465,-0.658343173977505,-0.395700939180003,-16.8602364096872,0.2
"7",6000,0.00546348103293292,0.00417336127807274,1.09214998678505,-0.658346938359305,-0.390616420293148,-20.7820695233524,0.114
"8",7000,0.00440238085914771,0.00330639752856289,0.731738454531175,-0.658360300539387,-0.377512894539203,-16.6233168479842,0.447
"9",8000,0.00408088179594359,0.00361281362931217,0.731738454531175,-0.837356328168788,-0.262212658210757,-16.6209139836842,0.062
"10",9000,0.00551022197921417,0.00338727283732427,1.00581682444951,-0.871235331284473,-0.532667572468843,-19.6023789816503,0.415
"11",10000,0.00462081802847164,0.00214123240272001,1.00113890838679,-0.982584341215201,-0.346108054327025,-17.598671683413,0.114
"12",11000,0.00887959105947779,0.00295968418724479,1.01320729472142,-0.844649640505203,-0.474977772965692,-22.7450296607597,0.228
"13",12000,0.00340258680895014,0.00233405809670561,1.04215435911313,-0.686243077679678,-0.0095227586228942,-18.5424978049052,0.252
"14",13000,0.0040922494245202,0.00244374138664435,0.643482897031761,-0.686243020615937,-0.261799526929427,-15.7990892325738,0.111
"15",14000,0.00418615570966019,0.00377238918808133,0.507611132727228,-0.68624301685173,-0.447548285528602,-18.3628984556994,0.408
"16",15000,0.00461286461706329,0.00309316166319203,0.507611132727228,-0.686243019922101,-0.201315074845925,-17.2256280094211,0.0970000000000001
"17",16000,0.00589194071845586,0.00281434615177132,0.512750435463191,-0.686243019920408,-0.365191284339328,-18.0827878786029,0.41
"18",17000,0.00590622096397657,0.00478498589929387,0.475304539389662,-0.686243019918415,-0.505859698003547,-21.4203997617798,0.164
"19",18000,0.00608548846300285,0.00199142458661396,0.47582624358996,-0.686243019908824,-0.310027017679165,-19.7430776213019,0.104
"20",19000,0.00352354884898123,0.00290776443945219,0.476183741709095,-0.686243019906624,-0.15218365655598,-17.3839360531852,0.474
"21",20000,0.00497564490118726,0.00241691398211827,0.477828323075938,-0.68624301994662,-0.299076460635554,-17.2577260912937,0.173
"22",21000,0.0041821204327049,0.00230836462069934,0.477862184636095,-0.686243019928485,-0.0943356937335963,-17.6223440522538,0.137
"23",22000,0.00531694001976609,0.00329120135991802,0.460406753392968,-0.686243019922689,-0.50562342169575,-18.9141938627606,0.448
"24",23000,0.00440073334766259,0.00223323080762781,0.422602158608962,-0.686243020066565,-0.239336576754437,-17.5088745411472,0.116
"25",24000,0.0030271199238592,0.0032313378717939,0.773622926477188,-0.686249844961314,-0.219307959936809,-17.2876377060501,0.354
"26",25000,0.00339037742682761,0.00319716302199159,0.525463302340612,-0.684890673146564,-0.244269644405247,-17.1343077519461,0.146
"27",26000,0.00385339364803745,0.00219386090235487,0.546195063434118,-0.684890673146564,0.0584882305278551,-19.3183989600673,0.188
"28",27000,0.00433094802901244,0.00224847339854566,0.771225166438642,-0.967200169342266,-0.129537514224243,-16.7740802968258,0.224
"29",28000,0.00557111251360379,0.00341917578519386,0.883476613251349,-0.9672133644267,-0.418656866249262,-18.0099036830251,0.121
"30",29000,0.00416484146457163,0.00300192798658139,0.707342581392363,-0.96720603468132,-0.228554265604038,-16.3524392641402,0.43
"31",30000,0.00342874706802945,0.00300192798658139,0.707342581392363,-0.96720603468132,-0.242763107792543,-16.4113406902291,0.0990000000000001
"32",31000,0.00543448803462676,0.00213125334368947,0.784215956150839,-0.96720603468141,-0.0692779694790356,-18.7359187710041,0.257
"33",32000,0.00333469139106059,0.00232663698057253,0.903070391662124,-0.967206034681388,-0.220275072878352,-16.3484967679025,0.154
"34",33000,0.00483907886991805,0.00165823613103937,0.903069788176852,-0.967206034688724,-0.0813922895133142,-20.4089512672323,0.345
"35",34000,0.00364579482023739,0.00322782931508606,0.903069787326315,-0.967206298424029,-0.137432326133524,-16.9130056186495,0.152
"36",35000,0.00464988558912934,0.00376828609304251,0.903069787326347,-0.967207774177921,-0.225875068932015,-17.8678252813448,0.298
"37",36000,0.00382141282923623,0.00331414765980363,0.903069787326346,-0.956953056425019,-0.24672196467522,-16.5015944195615,0.261
"38",37000,0.00319972483377703,0.00237130430272898,0.903069787326342,-0.956953056425019,-0.267143762734725,-16.4267018572796,0.133
"39",38000,0.00399729833125058,0.00332274005018728,0.903069787326347,-0.79924521075034,-0.153082923087095,-16.6166059306702,0.262
"40",39000,0.0033885118066228,0.00278649086120331,0.903069786757403,-0.799393968486827,-0.219868233382315,-15.8020995742384,0.185
"41",40000,0.00491123226769027,0.00303210201980071,0.903069301078274,-0.799394183763153,-0.435012571333488,-16.8771764449533,0.31
"42",41000,0.00286003264639441,0.00364985216457068,0.903068801228429,-0.799394183764799,-0.191831097104099,-18.2189395206767,0.308
"43",42000,0.0052931305698119,0.00227079922948258,0.901777322251398,-0.79939418202766,-0.109808222310477,-17.4380385053342,0.144
"44",43000,0.00545933790217577,0.00239103216545966,0.803839825969218,-0.799248778621366,-0.373125594130346,-17.0470980020533,0.365
"45",44000,0.00494447982890861,0.00284174761111272,0.803839825969218,-1.00097396778424,-0.191697666450271,-17.1135333121648,0.0790000000000001
"46",45000,0.00586489651000667,0.0024181343561149,0.825876132809562,-0.685034861613201,-0.162491511537819,-18.0570570171905,0.219
"47",46000,0.00331846204084227,0.00223586341719209,0.824581290640465,-0.939942865447983,-0.124897907705971,-16.5388316568757,0.246
"48",47000,0.0031272426478903,0.00327989116648245,0.82458123389657,-0.951965372715425,-0.261327184525659,-16.8703282065792,0.288
"49",48000,0.00528465620378022,0.00307285175392685,0.824581233966414,-0.954799595534253,-0.368441454508652,-17.143247471911,0.195
"50",49000,0.00395313264655706,0.00321937833473035,0.824581233966415,-0.880059627093895,-0.336877105045559,-15.9883424454897,0.252
"51",50000,0.0033632724446427,0.00410391727478894,0.824581233966415,-0.803725416280951,-0.299050191958616,-17.8908881916336,0.267
"52",51000,0.00284049955584441,0.00294024576758018,0.824581233966415,-1.05188343988914,-0.128191892072152,-18.1750690125111,0.282
"53",52000,0.00511678159243441,0.0026178581112546,0.824581233966415,-0.990303243779867,-0.192490146169573,-17.1710631923816,0.205
"54",53000,0.0031847467351038,0.00365230773607741,0.824581233966407,-0.987813301164352,-0.26060067996,-17.6215535893283,0.235
"55",54000,0.00393025764670354,0.00372339201737229,0.824581233332492,-0.987799055411402,-0.318371968062436,-17.6393769705817,0.226
"56",55000,0.00459719951983484,0.00257673878238937,0.824575826999178,-0.940020786883894,-0.21502055712373,-16.1423725947506,0.305
"57",56000,0.00482179288668014,0.00302107200799922,0.791393815801647,-0.83433368941943,-0.287305264155445,-16.1244369335007,0.185
"58",57000,0.00333074243571198,0.0031521950595682,0.725256602391248,-0.640346892628777,-0.282730116603453,-16.490898704589,0.232
"59",58000,0.00324591284519275,0.00303195175772383,0.725256602391248,-0.640357816458303,-0.423785155773666,-17.6072206565552,0.161
"60",59000,0.0038378950779784,0.0029713934904962,0.765637535880372,-0.640357816665117,-0.267599629228376,-17.3201614793742,0.223
"61",60000,0.00409105868714344,0.00308524258217761,0.754254374540342,-0.640357845890032,-0.260682582665047,-16.1755486229538,0.239
