ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),Index,Cell area (um^2)
,,,,,,18,636.650,1,6437.190
,,,,,,19,629.535,2,3995.868
,,,,,,20,596.366,3,3715.702
,,,,,,21,555.455,4,2991.736
,,,,,,,,5,4273.554
,,,,,,,,6,4876.860
,,,,,,,,7,4883.471
,,,,,,,,8,6662.810
,,,,,,,,9,4604.132
,,,,,,,,10,6108.264
,,,,,,,,11,6452.893
,,,,,,,,12,3584.298
,,,,,,,,13,3724.793
,,,,,,,,14,6262.810
,,,,,,,,15,7103.306
,,,,,,,,16,10580.165
