ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
,,1,118486.667,13,107875.389,,,,
,,2,1027.701,14,10128.533,,,,
,,3,374.086,15,8887.661,,,,
,,4,8899.274,16,188.287,,,,
,,5,711.676,17,174.187,,,,
,,6,150.132,18,3390.831,,,,
,,7,97.047,19,6060.033,,,,
,,8,249.667,20,343.396,,,,
,,9,6638.166,21,293.629,,,,
,,10,4128.221,22,1477.268,,,,
,,11,423.024,23,203.218,,,,
,,12,314.365,,,,,,
