leaf_thickness_mm,LTmean (um),FMDMmean,LDMCmean (g/g),dSLAmean (cm^2/g),dC13,dH+,dH+SIG,Pathway,Genus,Species,Taxon,Reference,MajorLineage,Tissue
0.58,580.00,2.7,0.370,84,-27.2,0.3,NS,C3,Sobralia,callosa,Sobralia callosa,Silvera et al. (2005),Orchidaceae,leaf
0.43,430.00,3.5,0.286,132,-27.8,0.7,NS,C3,Sobralia,chrysostoma,Sobralia chrysostoma,Silvera et al. (2005),Orchidaceae,leaf
0.31,310.00,3.3,0.303,128,-29,-0.4,NS,C3,Sobralia,decora,Sobralia decora,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,4.4,0.227,148,-27,0.0,NS,C3,Sobralia,macrophylla,Sobralia macrophylla,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,3.2,0.313,100,-27,1.2,NS,C3,Sobralia,wilsoniana,Sobralia wilsoniana,Silvera et al. (2005),Orchidaceae,leaf
0.22,220.00,4.6,0.217,225,-28.9,2.7,NS,C3,Spathoglottis,plicata,Spathoglottis plicata,Silvera et al. (2005),Orchidaceae,leaf
0.1,100.0,9.9,0.101,149,-27.3,7.6,NS,C3,Specklinia,calyptrostele,Specklinia calyptrostele,Silvera et al. (2005),Orchidaceae,leaf
1.72,1720.00,6.5,0.154,113,-29.3,0.7,NS,C3,Specklinia,barboselloides,Specklinia corniculata,Silvera et al. (2005),Orchidaceae,leaf
1.25,1250.00,8.6,0.116,93,-28.1,2.4,NS,C3,Empusella,endotrachys,Specklinia endotrachys,Silvera et al. (2005),Orchidaceae,leaf
1.35,1350.00,8.9,0.112,95,-26.5,6.8,NS,C3,Specklinia,fulgens,Specklinia fulgens,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,4.1,0.244,120,-27.1,0.0,NS,C3,Stanhopea,ecornuta,Stanhopea ecornuta,Silvera et al. (2005),Orchidaceae,leaf
0.53,530.00,,,,-29.6,,,C3,Stanhopea,oculata,Stanhopea oculata,Silvera et al. (2005),Orchidaceae,leaf
0.27,270.00,4.5,0.222,130,-31.5,1.2,NS,C3,Stanhopea,pulla,Stanhopea pulla,Silvera et al. (2005),Orchidaceae,leaf
0.61,610.00,,,,-27.7,,,C3,Stanhopea,sp.,Stanhopea sp.,Silvera et al. (2005),Orchidaceae,leaf
0.54,540.00,7.0,0.143,180,-29.5,0.8,NS,C3,Stanhopea,wardii,Stanhopea wardii,Silvera et al. (2005),Orchidaceae,leaf
0.9,900.0,8.9,0.112,94,-29,2.2,NS,C3,Specklinia,imraei,Stelis imraei,Silvera et al. (2005),Orchidaceae,leaf
1.87,1870.00,13.1,0.076,81,-24.6,4.4,SIG,C3+CAM,Pleurothallis,racemiflora,Stelis multirostris,Silvera et al. (2005),Orchidaceae,leaf
1,1000,11.5,0.087,151,-25.1,2.1,NS,C3,Stelis,sp. 1 (yellow form),Stelis sp. 1 (yellow form),Silvera et al. (2005),Orchidaceae,leaf
1.23,1230.00,,,,-26.5,,,C3,Stelis,sp. 2,Stelis sp. 2,Silvera et al. (2005),Orchidaceae,leaf
2.39,2390.00,15.6,0.064,75,-14.4,40.5,SIG,CAM,Trichocentrum,caloceras,Trichocentrum caloceras,Silvera et al. (2005),Orchidaceae,leaf
1.74,1740.00,11.2,0.089,56,-13.4,21.7,SIG,CAM,Trichocentrum,capistratum,Trichocentrum capistratum,Silvera et al. (2005),Orchidaceae,leaf
2.32,2320.00,11.2,0.089,51,-12.2,64.8,SIG,CAM,Oncidium,carthagenense,Trichocentrum carthagenense,Silvera et al. (2005),Orchidaceae,leaf
10.1,10100.0,20.8,0.048,36,-13.3,41.5,SIG,CAM,Trichocentrum,teres,Trichocentrum helicanthum,Silvera et al. (2005),Orchidaceae,leaf
1.11,1110.00,,,,-13.6,5.1,,CAM,Trichocentrum,luridum,Trichocentrum luridum,Silvera et al. (2005),Orchidaceae,leaf
10.02,10020.00,,,,-14.5,,,CAM,Trichocentrum,nudum,Trichocentrum nudum,Silvera et al. (2005),Orchidaceae,leaf
8.3,8300.0,17.6,0.057,19,-16.1,21.4,SIG,CAM,Trichocentrum,nudum,Trichocentrum nudum,Silvera et al. (2005),Orchidaceae,leaf
0.46,460.00,5.2,0.192,143,-29.3,0.3,NS,C3,Trichopilia,leucoxantha,Trichopilia leucoxantha,Silvera et al. (2005),Orchidaceae,leaf
0.75,750.00,6.5,0.154,91,-25.5,13.2,SIG,C3+CAM,Trichopilia,maculata,Trichopilia maculata,Silvera et al. (2005),Orchidaceae,leaf
0.72,720.00,3.9,0.256,67,-26.9,1.1,NS,C3,Trichopilia,marginata,Trichopilia marginata,Silvera et al. (2005),Orchidaceae,leaf
1.5,1500.0,6.6,0.152,128,-29.3,0.2,NS,C3,Trichopilia,sp.,Trichopilia sp.,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,4.0,0.250,86,-29.3,2.1,SIG,C3+CAM,Trichopilia,suavis,Trichopilia suavis,Silvera et al. (2005),Orchidaceae,leaf
0.85,850.00,8.4,0.119,98,-29.9,-0.6,NS,C3,Trichosalpinx,blaisdellii,Trichosalpinx blaisdellii,Silvera et al. (2005),Orchidaceae,leaf
0.95,950.00,5.2,0.192,52,-25.1,4.0,NS,C3,Trichosalpinx,orbicularis,Trichosalpinx orbicularis,Silvera et al. (2005),Orchidaceae,leaf
0.56,560.00,10.5,0.095,141,-23.4,22.7,SIG,C3+CAM,Vanilla,pfaviana,Vanilla inodora,Silvera et al. (2005),Orchidaceae,leaf
1.96,1960.00,14.2,0.070,63,-16.4,89.7,SIG,CAM,Vanilla,planifolia,Vanilla planifolia,Silvera et al. (2005),Orchidaceae,leaf
1.83,1830.00,17.4,0.057,92,-16.5,104.2,SIG,CAM,Vanilla,pompona,Vanilla pompona,Silvera et al. (2005),Orchidaceae,leaf
0.43,430.00,6.4,0.156,130,-27.9,2.5,NS,C3,Warczewiczella,lipscombiae,Warczewiczella lipscombiae,Silvera et al. (2005),Orchidaceae,leaf
0.45,450.00,6.3,0.159,152,-27.9,1.2,NS,C3,Xylobium,colleyi,Xylobium colleyi,Silvera et al. (2005),Orchidaceae,leaf
0.26,260.00,4.2,0.238,157,-28.3,-0.6,NS,C3,Xylobium,elongatum,Xylobium elongatum,Silvera et al. (2005),Orchidaceae,leaf
0.42,420.00,,,,-28.9,,,C3,Xylobium,foveatum,Xylobium foveatum,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,,,,-28.2,,,C3,Xylobium,sulfurinum,Xylobium sulfurinum,Silvera et al. (2005),Orchidaceae,leaf
