leaf_thickness_mm,LTmean (um),FMDMmean,LDMCmean (g/g),dSLAmean (cm^2/g),dC13,dH+,dH+SIG,Pathway,Genus,Species,Taxon,Reference,MajorLineage,Tissue
1.7,1700.0,8.8,0.114,77,-27,2.4,SIG,C3+CAM,Brenesia,lappiformis,Echinosepala lappiformis,Silvera et al. (2005),Orchidaceae,leaf
1.14,1140.00,,,,-16.1,,,CAM,Encyclia,alata,Encyclia alata,Silvera et al. (2005),Orchidaceae,leaf
0.77,770.00,4.9,0.204,51,-19,32.7,SIG,C3+CAM,Encyclia,ramonensis,Encyclia ceratistes,Silvera et al. (2005),Orchidaceae,leaf
1.15,1150.00,5.2,0.192,61,-14.9,127.6,SIG,CAM,Encyclia,amanda,Encyclia chloroleuca,Silvera et al. (2005),Orchidaceae,leaf
1.42,1420.00,8.1,0.123,55,-16.7,196.9,SIG,CAM,Encyclia,cordigera,Encyclia cordigera,Silvera et al. (2005),Orchidaceae,leaf
0.67,670.00,5.5,0.182,44,-16.2,29.8,SIG,CAM,Encyclia,mooreana,Encyclia mooreana,Silvera et al. (2005),Orchidaceae,leaf
0.9,900.0,5.2,0.192,59,-18,83.8,SIG,CAM,Encyclia,stellata,Encyclia stellata,Silvera et al. (2005),Orchidaceae,leaf
0.35,350.00,7.0,0.143,229,-27.3,3.6,NS,C3,Epidendrum,bilobatum,Epidendrum bilobatum,Silvera et al. (2005),Orchidaceae,leaf
0.27,270.00,5.9,0.169,255,-30.2,0.0,NS,C3,Oerstedella,caligaria,Epidendrum caligarium,Silvera et al. (2005),Orchidaceae,leaf
0.45,450.00,8.6,0.116,54,-18.9,106.3,SIG,C3+CAM,Epidendrum,ciliare,Epidendrum ciliare,Silvera et al. (2005),Orchidaceae,leaf
1.97,1970.00,10.3,0.097,58,-20.4,155.5,SIG,C3+CAM,Epidendrum,coronatum,Epidendrum coronatum,Silvera et al. (2005),Orchidaceae,leaf
