ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
,,,,,,1,3517.437,1,532.467
,,,,,,2,3420.404,2,761.707
,,,,,,3,3502.882,3,422.092
,,,,,,,,4,657.397
,,,,,,,,5,754.430
,,,,,,,,6,469.396
,,,,,,,,7,365.086
,,,,,,,,8,607.668
,,,,,,,,9,631.926
,,,,,,,,10,752.004
,,,,,,,,11,469.396
,,,,,,,,12,383.279
,,,,,,,,13,465.757
