ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),Index,Cell area (um^2)
,,,,,,16,1289.900,1,11017.495
,,,,,,17,1386.995,2,7056.410
,,,,,,18,1345.431,3,6920.262
,,,,,,19,1289.564,4,6141.195
,,,,,,,,5,7949.516
,,,,,,,,6,10813.273
,,,,,,,,7,8116.501
,,,,,,,,8,9015.425
,,,,,,,,9,7880.860
,,,,,,,,10,6190.068
,,,,,,,,11,8902.550
,,,,,,,,12,7223.976
,,,,,,,,13,8240.430
,,,,,,,,14,3780.718
,,,,,,,,15,9978.932
