taxon	slide_no	leaf_no	ivd	dias	dcell	delta	phloem_path	bs_cellsize	bs_length	bs_width	palisade_cellsize	palisade_length	palisade_width	ws_cellsize	ws_length	ws_width	ws_wall_thickness	n_mucilage_cells	mucilage_cell_area	leaf_thickness	leaf_area	mucilage_total_area	ias	area_for_ias	ias_by_area	lmes	lmes/ias	threedee	threedee.types	perimeter	width	thicknessXwidth	gh
Adenogramma_glomerata	Adeno_glomerata142.2_3_20x	1	NA	NA	0.089582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Adenogramma_glomerata	Adeno_glomerata142.2_3_20x	1	NA	NA	0.100563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Adenogramma_glomerata	Adeno_glomerata142.2_3_20x	1	NA	NA	0.090768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Adenogramma_glomerata	Adenogramma_glomerata_lf2sl1_20x	2	0.15047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Adenogramma_glomerata	Adenogramma_glomerata_lf2sl1_20x	2	0.105604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Adenogramma_glomerata	Adenogramma_glomerata_lf2sl1_20x	2	0.215628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.783	0.107	0.22044	0.299622	5	0.000183	0.017245	0.012757	0.004051	0.084793	0.068065	0.004166	0.080707	0.054675	0.001712	18	0.00757	0.699257	2.126493	0.052002052	0.001468	0.224969	0.030253057	0.275396	5.492316719	0	0	NA	5.985532	10.15512462	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.82	0.159	0.184587	0.371057	7	0.000411	0.022393	0.022476	0.002804	0.067328	0.053977	0.002444	0.103084	0.042423	0.001967	NA	0.004063	0.526865	NA	NA	0.00026	NA	NA	0.149787	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.316	0.234	0.226387	0.301655	9	0.000631	0.03332	0.021689	0.00246	0.071156	0.060152	0.003444	0.0681	0.044782	0.002013	NA	0.009813	0.58941	NA	NA	0.00037	NA	NA	0.062242	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.489	0.164	0.295721	0.289546	8	0.001398	0.055252	0.031876	0.00173	0.058757	0.036896	0.002417	0.09804	0.063726	0.002362	NA	0.010348	0.548136	NA	NA	0.001512	NA	NA	0.177871	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.308	0.248	0.215816	0.218473	6	0.000318	0.029861	0.012769	0.002072	0.04327	0.042924	0.003721	0.09648	0.051326	0.00222	NA	0.007049	0.515563	NA	NA	0.003196	NA	NA	0.570305	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.405	0.169	0.248662	0.279564	6	0.001929	0.065716	0.030859	0.004397	0.064605	0.050912	0.003423	0.076	0.035714	NA	NA	0.008668	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	0.365	0.28	0.266004	0.236733	7	0.000757	0.040853	0.022969	0.002893	0.058095	0.057278	0.002699	0.061755	0.045468	NA	NA	0.004039	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
Alluaudia_procera	Alluaudia_procera_lf1sl2.1_10x	1	NA	NA	0.135392	0.200457	9	0.001691	0.06984	0.03608	NA	NA	NA	0.004971	0.095611	0.040933	NA	NA	0.003772	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0
